NAME,B01003_001E,B19013_001E,B25077_001E,B25064_001E,B25071_001E,B17001_002E,B23025_003E,B23025_005E,B15003_001E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B08013_001E,B08303_001E,B25003_001E,B25003_002E,metropolitan statistical area/micropolitan statistical area,_loaded_at
"Boston-Cambridge-Newton, MA-NH Metro Area",4917661.0,112484.0,610900.0,1940.0,30.2,424129.0,2809193.0,135677.0,3479921.0,956390.0,571007.0,125219.0,130069.0,64916765.0,2128447.0,1925474.0,1189120.0,14460,2026-06-19 09:34:34.341087-07:00
"Charleston-North Charleston, SC Metro Area",817756.0,82272.0,345400.0,1488.0,30.9,89836.0,421330.0,16085.0,570635.0,142278.0,60806.0,15873.0,9012.0,9777660.0,357454.0,327420.0,224818.0,16700,2026-06-19 09:34:34.341087-07:00
"Los Angeles-Long Beach-Anaheim, CA Metro Area",13012469.0,93525.0,825300.0,1987.0,33.8,1618969.0,6888495.0,455764.0,9117096.0,2175480.0,834718.0,254722.0,143872.0,158071875.0,5293768.0,4464908.0,2168812.0,31080,2026-06-19 09:34:34.341087-07:00
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6138876.0,73481.0,405600.0,1770.0,37.2,794980.0,3212506.0,160940.0,4429878.0,967281.0,399532.0,148439.0,62396.0,76367010.0,2605715.0,2311230.0,1394735.0,33100,2026-06-19 09:34:34.341087-07:00
"New York-Newark-Jersey City, NY-NJ Metro Area",19756722.0,97334.0,587400.0,1780.0,31.0,2416274.0,10412496.0,681021.0,13911545.0,3465456.0,1856167.0,480223.0,249280.0,290532525.0,8074340.0,7362500.0,3789974.0,35620,2026-06-19 09:34:34.341087-07:00
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2510529.0,94573.0,526500.0,1654.0,30.8,236581.0,1365858.0,68018.0,1794165.0,466803.0,199047.0,50098.0,38516.0,25767950.0,1013870.0,1000418.0,620392.0,38900,2026-06-19 09:34:34.341087-07:00
"Providence-Warwick, RI-MA Metro Area",1673807.0,85646.0,385900.0,1236.0,29.4,180736.0,898201.0,50909.0,1185708.0,252585.0,117651.0,24733.0,20045.0,19574960.0,738662.0,669104.0,420887.0,39300,2026-06-19 09:34:34.341087-07:00
"San Diego-Chula Vista-Carlsbad, CA Metro Area",3282782.0,102285.0,791600.0,2154.0,33.7,330602.0,1681203.0,104758.0,2269135.0,580152.0,250414.0,66576.0,57934.0,35052600.0,1352810.0,1159822.0,632194.0,41740,2026-06-19 09:34:34.341087-07:00
"San Francisco-Oakland-Fremont, CA Metro Area",4653593.0,133780.0,1113800.0,2426.0,28.8,399787.0,2579488.0,138635.0,3403234.0,1019630.0,513843.0,133153.0,115478.0,57883795.0,1820313.0,1735054.0,961002.0,41860,2026-06-19 09:34:34.341087-07:00
"Savannah, GA Metro Area",412089.0,74632.0,271100.0,1370.0,29.8,49403.0,207420.0,11806.0,277821.0,59943.0,26555.0,6310.0,4282.0,4512225.0,179604.0,158617.0,97577.0,42340,2026-06-19 09:34:34.341087-07:00
"Seattle-Tacoma-Bellevue, WA Metro Area",4021467.0,112594.0,673500.0,1932.0,29.4,332072.0,2214256.0,102267.0,2850044.0,792775.0,385955.0,78963.0,62230.0,48532780.0,1638023.0,1586350.0,958295.0,42660,2026-06-19 09:34:34.341087-07:00
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3240469.0,71254.0,306100.0,1497.0,33.1,388884.0,1626337.0,76050.0,2356194.0,507296.0,209911.0,52726.0,31555.0,35400740.0,1259108.0,1303644.0,881420.0,45300,2026-06-19 09:34:34.341087-07:00
"Urban Honolulu, HI Metro Area",1003666.0,104264.0,873000.0,2054.0,33.7,88808.0,485957.0,23328.0,707526.0,167802.0,66671.0,19861.0,12566.0,12346625.0,456305.0,337061.0,200686.0,46520,2026-06-19 09:34:34.341087-07:00
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",1782590.0,80533.0,318000.0,1416.0,31.5,188496.0,870286.0,44207.0,1212293.0,256939.0,126363.0,23549.0,18931.0,19777905.0,798599.0,701116.0,442292.0,47260,2026-06-19 09:34:34.341087-07:00
